cost_bps,gamma,strategy,CER_net_pct,CER_gain_vs_bench_pct,Sharpe_net
10.0,5.0,gbrt_base,-0.2756257120813567,-1.4408237942520947,0.21748686793395836
10.0,5.0,combo_base,0.6391834001978576,-0.5260146819728804,0.3479504435718562
10.0,5.0,ols_aug,3.4766719513048328,2.311473869134095,0.5925758078207107
10.0,5.0,enet_aug,1.749166740999154,0.5839686588284161,0.43975239077318934
10.0,5.0,rf_aug,2.9055395035102825,1.7403414213395445,0.5426601227375621
10.0,5.0,gbrt_aug,-0.33124855922882596,-1.4964466413995638,0.17159834126424722
10.0,5.0,combo_aug,1.5238976132241333,0.35869953105339536,0.4134820185412853
25.0,2.0,ols_base,3.3309266344697677,-0.005014503297710693,0.37542451192777204
25.0,2.0,enet_base,3.4096812946679718,0.0737401569004934,0.3984345373325628
25.0,2.0,rf_base,4.216400205079733,0.8804590673122545,0.4363457959976758
25.0,2.0,gbrt_base,3.0802532367566426,-0.2556879010108357,0.3639235728498233
25.0,2.0,combo_base,4.346872242121718,1.0109311043542393,0.4518231762938082
25.0,2.0,ols_aug,5.626110307733375,2.290169169965897,0.5489476692148342
25.0,2.0,enet_aug,3.3559236125679903,0.019982474800511962,0.394157269734141
25.0,2.0,rf_aug,5.539315667874925,2.203374530107447,0.5846586063388345
25.0,2.0,gbrt_aug,1.6359594895285927,-1.6999816482388856,0.255820522569504
25.0,2.0,combo_aug,5.048926305911232,1.7129851681437538,0.5076402186052114
25.0,3.0,ols_base,2.340812681069182,0.47608674009400165,0.3776159122396408
25.0,3.0,enet_base,2.4095664827235086,0.5448405417483282,0.3953560907100061
25.0,3.0,rf_base,3.6422342116352335,1.7775082706600531,0.47412902520892647
25.0,3.0,gbrt_base,1.1163423350097936,-0.7483836059653868,0.2775617357580608
25.0,3.0,combo_base,2.7376914180886636,0.8729654771134832,0.40529211034779644
25.0,3.0,ols_aug,4.615177454290789,2.7504515133156087,0.5449260597075306
25.0,3.0,enet_aug,2.3208253224192377,0.45609938144405726,0.386220269707567
25.0,3.0,rf_aug,4.4881567937084945,2.623430852733314,0.571181753878354
25.0,3.0,gbrt_aug,0.036229187054434994,-1.8284967539207455,0.1807479689016506
25.0,3.0,combo_aug,3.409517859356226,1.5447919183810455,0.457819390279835
25.0,5.0,ols_base,0.252364737158858,-0.8712230985960865,0.35963861957802784
25.0,5.0,enet_base,1.6448517947864918,0.5212639590315473,0.4234753889349872
25.0,5.0,rf_base,1.7701365502530848,0.6465487144981403,0.43483089735985814
25.0,5.0,gbrt_base,-0.4912104225437008,-1.6147982582986453,0.19551476510008517
25.0,5.0,combo_base,0.5004220580962327,-0.6231657776587117,0.336166804743618
25.0,5.0,ols_aug,2.9692922433897504,1.845704407634806,0.5533799389954768
25.0,5.0,enet_aug,1.6743362616060309,0.5507484258510864,0.4275914312612733
25.0,5.0,rf_aug,2.645309736265521,1.5217219005105767,0.5155313816908488
25.0,5.0,gbrt_aug,-0.7162198378326557,-1.8398076735876003,0.1257641038922405
25.0,5.0,combo_aug,1.1348190858414458,0.011231250086501277,0.37788651403867485
